fecha_id,indicador_id,codigo_indicador,fecha,anio,mes,trimestre,valor
20200101,1,PD04722MM,2020-01-01,2020,1,T1,1.88835605229068
20200201,1,PD04722MM,2020-02-01,2020,2,T1,1.90403776113918
20200301,1,PD04722MM,2020-03-01,2020,3,T1,1.82153296943842
20200401,1,PD04722MM,2020-04-01,2020,4,T2,1.72448975655499
20200501,1,PD04722MM,2020-05-01,2020,5,T2,1.7819197522911
20200601,1,PD04722MM,2020-06-01,2020,6,T2,1.59873239164688
20200701,1,PD04722MM,2020-07-01,2020,7,T3,1.8616957242678
20200801,1,PD04722MM,2020-08-01,2020,8,T3,1.68739824186658
20200901,1,PD04722MM,2020-09-01,2020,9,T3,1.81955390705632
20201001,1,PD04722MM,2020-10-01,2020,10,T4,1.72400036113651
20201101,1,PD04722MM,2020-11-01,2020,11,T4,2.14220969430481
20201201,1,PD04722MM,2020-12-01,2020,12,T4,1.97323222946074
20210101,1,PD04722MM,2021-01-01,2021,1,T1,2.67554538350913
20210201,1,PD04722MM,2021-02-01,2021,2,T1,2.4013422122209
20210301,1,PD04722MM,2021-03-01,2021,3,T1,2.59818523324116
20210401,1,PD04722MM,2021-04-01,2021,4,T2,2.38369772363027
20210501,1,PD04722MM,2021-05-01,2021,5,T2,2.44745902560864
20210601,1,PD04722MM,2021-06-01,2021,6,T2,3.25460667105263
20210701,1,PD04722MM,2021-07-01,2021,7,T3,3.81459906516264
20210801,1,PD04722MM,2021-08-01,2021,8,T3,4.95280459648037
20210901,1,PD04722MM,2021-09-01,2021,9,T3,5.22957455422953
20211001,1,PD04722MM,2021-10-01,2021,10,T4,5.82600992647617
20211101,1,PD04722MM,2021-11-01,2021,11,T4,5.65514784662318
20211201,1,PD04722MM,2021-12-01,2021,12,T4,6.43038716340725
20220101,1,PD04722MM,2022-01-01,2022,1,T1,5.68491659367423
20220201,1,PD04722MM,2022-02-01,2022,2,T1,6.1470442223465
20220301,1,PD04722MM,2022-03-01,2022,3,T1,6.82408900736014
20220401,1,PD04722MM,2022-04-01,2022,4,T2,7.96465277256915
20220501,1,PD04722MM,2022-05-01,2022,5,T2,8.09113893196794
20220601,1,PD04722MM,2022-06-01,2022,6,T2,8.81263294388897
20220701,1,PD04722MM,2022-07-01,2022,7,T3,8.74083491516008
20220801,1,PD04722MM,2022-08-01,2022,8,T3,8.39798830340194
20220901,1,PD04722MM,2022-09-01,2022,9,T3,8.52985253634929
20221001,1,PD04722MM,2022-10-01,2022,10,T4,8.27519462737062
20221101,1,PD04722MM,2022-11-01,2022,11,T4,8.44722980234022
20221201,1,PD04722MM,2022-12-01,2022,12,T4,8.45916200000001
20230101,1,PD04722MM,2023-01-01,2023,1,T1,8.66426700097408
20230201,1,PD04722MM,2023-02-01,2023,2,T1,8.64592356025242
20230301,1,PD04722MM,2023-03-01,2023,3,T1,8.40057400933134
20230401,1,PD04722MM,2023-04-01,2023,4,T2,7.9650458305066
20230501,1,PD04722MM,2023-05-01,2023,5,T2,7.89388564823743
20230601,1,PD04722MM,2023-06-01,2023,6,T2,6.46149699198863
20230701,1,PD04722MM,2023-07-01,2023,7,T3,5.88160145590039
20230801,1,PD04722MM,2023-08-01,2023,8,T3,5.57614720330122
